episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q082,0.3718,4,2,accepted,1,1.0,12.876,1278,4,0,,,,,,,False
2,Q015,0.3946,4,2,accepted,1,1.0,3.9,511,8,0,,,,,,,False
3,Q004,0.4174,4,2,accepted,1,0.6667,7.147,686,12,0,,,,,,,False
4,Q036,0.4914,4,2,accepted,1,1.0,8.583,1016,16,0,,,,,,,False
5,Q032,0.5452,4,2,accepted,1,1.0,5.027,372,20,0,,,,,,,False
6,Q029,0.432,4,2,accepted,1,1.0,5.423,1605,24,0,,,,,,,False
7,Q018,0.3475,4,2,accepted,1,1.0,3.56,532,28,0,,,,,,,False
8,Q014,0.5446,4,2,accepted,1,1.0,23.374,1709,32,0,,,,,,,False
9,Q087,0.5619,4,2,accepted,1,1.0,4.343,1509,36,0,,,,,,,False
10,Q070,0.2135,4,2,accepted,1,0.6667,8.009,2225,40,0,,,,,,,False
11,Q012,0.499,4,2,accepted,1,1.0,42.952,1881,44,0,,,,,,,False
12,Q076,0.4447,4,2,accepted,1,1.0,3.986,563,48,0,,,,,,,False
13,Q055,0.4923,4,2,accepted,1,1.0,11.32,1843,52,0,,,,,,,False
14,Q005,0.4557,4,2,accepted,1,1.0,5.891,1856,56,0,,,,,,,False
15,Q004,0.4119,4,2,accepted,1,0.5,5.928,683,60,0,,,,,,,False
16,Q012,0.5173,4,2,accepted,1,1.0,10.194,2569,64,1,0.167271,-0.500879,nan,-0.621028,-0.325392,-0.445963,True
17,Q088,0.5501,4,2,accepted,1,1.0,17.294,875,68,3,0.014913,-0.784433,nan,-0.666161,-0.081993,-0.785882,True
18,Q016,0.5157,4,2,accepted,1,1.0,16.85,552,72,5,0.039356,-0.954544,nan,-0.848629,-0.34348,-0.794361,True
19,Q027,0.5571,4,2,accepted,1,1.0,20.845,567,76,7,0.013909,-0.773998,nan,-0.711329,-0.373482,-0.607313,True
20,Q036,0.3622,4,2,accepted,1,0.8571,24.633,1332,80,9,0.011036,-0.625629,nan,-0.613368,-0.3454,-0.541339,True
21,Q071,0.5115,4,2,accepted,1,1.0,24.769,704,84,11,0.014755,-0.567842,nan,-0.540342,-0.241616,-0.510906,True
22,Q051,0.4489,4,2,accepted,1,1.0,23.23,1242,88,13,0.010382,-0.544034,nan,-0.538857,-0.157499,-0.557188,True
23,Q007,0.6441,4,2,accepted,1,1.0,22.211,539,92,15,0.006553,-0.586639,nan,-0.511562,-0.114406,-0.599642,True
24,Q063,0.5363,4,2,accepted,1,1.0,23.372,849,96,17,0.003593,-0.616012,nan,-0.51427,-0.065918,-0.656352,True
