episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q008,0.3662,4,2,accepted,1,0.6667,25.795,564,4,0,,,,,,,False
2,Q002,0.6123,4,2,accepted,1,1.0,3.525,380,8,0,,,,,,,False
3,Q018,0.3261,4,2,accepted,1,1.0,9.247,1094,12,0,,,,,,,False
4,Q016,0.4392,4,2,accepted,1,1.0,11.119,1308,16,0,,,,,,,False
5,Q015,0.0251,4,2,accepted,1,0.5,4.728,1055,20,0,,,,,,,False
6,Q009,0.3642,4,2,accepted,1,1.0,4.771,767,24,0,,,,,,,False
7,Q007,0.569,4,2,accepted,1,1.0,2.416,277,28,0,,,,,,,False
8,Q035,0.3575,4,2,accepted,1,0.6667,7.265,929,32,0,,,,,,,False
9,Q006,0.168,4,2,accepted,1,0.5,6.444,332,36,0,,,,,,,False
10,Q038,0.2234,4,2,accepted,1,0.6667,4.727,1001,40,0,,,,,,,False
11,Q028,0.5267,4,2,accepted,1,1.0,18.23,429,44,0,,,,,,,False
12,Q003,0.1697,4,2,accepted,1,0.5,7.644,1159,48,0,,,,,,,False
13,Q002,0.6127,4,2,accepted,1,1.0,2.656,380,52,0,,,,,,,False
14,Q006,0.3628,4,2,accepted,1,1.0,6.258,264,56,0,,,,,,,False
15,Q014,0.1281,4,2,accepted,1,0.6667,5.267,1271,60,0,,,,,,,False
16,Q015,0.0779,4,2,accepted,1,0.5,4.035,1386,64,1,0.15889,-0.378397,nan,-0.533106,-0.247513,-0.371872,True
17,Q011,0.1507,4,2,accepted,1,0.5,28.761,1179,68,3,0.031046,-0.715209,nan,-0.62383,-0.049305,-0.724476,True
18,Q008,0.4624,4,2,accepted,1,1.0,20.931,582,72,5,0.036489,-0.816512,nan,-0.703869,-0.317255,-0.5786,True
19,Q014,0.2203,4,2,accepted,1,0.5,22.569,384,76,7,0.011648,-0.676812,nan,-0.669894,-0.49021,-0.480071,True
20,Q018,0.403,4,2,accepted,1,1.0,21.792,257,80,9,0.015911,-0.476906,nan,-0.538191,-0.411479,-0.46976,True
21,Q036,0.378,4,2,accepted,1,1.0,16.508,291,84,11,0.016731,-0.444113,nan,-0.544385,-0.342083,-0.540144,True
22,Q026,0.4365,4,2,accepted,1,1.0,20.433,486,88,13,0.010549,-0.407581,nan,-0.532452,-0.205073,-0.568648,True
23,Q004,0.6169,4,2,accepted,1,1.0,17.842,291,92,15,0.005664,-0.438159,nan,-0.507095,-0.120672,-0.560418,True
24,Q032,0.3252,4,2,accepted,1,1.0,25.737,729,96,17,0.005112,-0.514407,nan,-0.499735,-0.113587,-0.524628,True
25,Q001,0.8134,4,2,accepted,1,1.0,15.908,279,100,19,0.006898,-0.501586,nan,-0.448723,-0.064319,-0.521355,True
26,Q012,0.4671,4,2,accepted,1,1.0,5.087,387,104,21,0.008358,-0.487064,nan,-0.456202,-0.089244,-0.636306,True
27,Q034,0.3854,4,2,accepted,1,1.0,18.625,599,108,23,0.007639,-0.471749,nan,-0.422461,-0.089931,-0.608431,True
28,Q020,0.4956,4,2,accepted,1,1.0,20.672,388,112,25,0.004659,-0.51418,nan,-0.486839,-0.161029,-0.564883,True
29,Q023,0.4752,4,2,accepted,1,1.0,23.233,684,116,27,0.007188,-0.552676,nan,-0.521947,-0.220994,-0.579095,True
30,Q009,0.4024,4,2,accepted,1,1.0,2.345,116,120,29,0.00528,-0.571652,nan,-0.529263,-0.235796,-0.559176,True
31,Q034,0.1184,4,3,accepted,1,0.6,24.464,1491,124,31,0.006926,-0.55702,nan,-0.563599,-0.245623,-0.614295,True
