episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q082,0.4541,4,2,accepted,1,0.75,22.472,1698,4,0,,,,,,,False
2,Q015,0.5222,4,2,accepted,1,1.0,7.306,499,8,0,,,,,,,False
3,Q004,0.4365,4,2,accepted,1,0.5,7.082,637,12,0,,,,,,,False
4,Q036,0.5466,4,2,accepted,1,1.0,8.593,896,16,0,,,,,,,False
5,Q032,0.5741,4,2,accepted,1,1.0,3.545,381,20,0,,,,,,,False
6,Q029,0.6572,4,2,accepted,1,1.0,6.652,2072,24,0,,,,,,,False
7,Q018,0.4271,4,2,accepted,1,1.0,4.3,487,28,0,,,,,,,False
8,Q014,0.7029,4,2,accepted,1,1.0,29.694,2268,32,0,,,,,,,False
9,Q087,0.7463,4,2,accepted,1,1.0,9.01,2030,36,0,,,,,,,False
10,Q070,0.4095,4,2,accepted,1,0.6667,10.38,2786,40,0,,,,,,,False
11,Q012,0.655,4,2,accepted,1,1.0,56.068,2135,44,0,,,,,,,False
12,Q076,0.5114,4,2,accepted,1,1.0,5.268,579,48,0,,,,,,,False
13,Q055,0.6215,4,2,accepted,1,1.0,10.168,2257,52,0,,,,,,,False
14,Q005,0.5573,4,2,accepted,1,1.0,6.01,2306,56,0,,,,,,,False
15,Q004,0.4482,4,2,accepted,1,0.6667,7.695,695,60,0,,,,,,,False
16,Q012,0.6912,4,2,accepted,1,1.0,9.813,2837,64,1,0.193466,-0.537131,nan,-0.644261,-0.378426,-0.497639,True
17,Q088,0.6552,4,2,accepted,1,1.0,23.441,1170,68,3,0.014889,-0.84989,nan,-0.765571,-0.215859,-1.008249,True
18,Q016,0.5603,4,2,accepted,1,1.0,24.033,462,72,5,0.037489,-0.890787,nan,-0.79829,-0.31573,-0.888969,True
19,Q027,0.5803,4,2,accepted,1,1.0,28.513,556,76,7,0.014524,-0.803284,nan,-0.769226,-0.429305,-0.751973,True
20,Q036,0.495,4,2,accepted,1,0.8571,33.689,1585,80,9,0.012235,-0.568519,nan,-0.58997,-0.330412,-0.611835,True
21,Q071,0.6056,4,2,accepted,1,1.0,32.256,992,84,11,0.014082,-0.579991,nan,-0.579966,-0.285947,-0.638653,True
22,Q051,0.6224,4,2,accepted,1,1.0,35.489,1461,88,13,0.010478,-0.530652,nan,-0.562368,-0.185129,-0.671635,True
23,Q007,0.6414,4,2,accepted,1,1.0,35.285,714,92,15,0.005556,-0.525477,nan,-0.490075,-0.110605,-0.656404,True
24,Q063,0.6315,4,2,accepted,1,1.0,29.94,1151,96,17,0.004129,-0.594344,nan,-0.5317,-0.075082,-0.756104,True
25,Q002,0.6244,4,2,accepted,1,1.0,34.848,1300,100,19,0.004545,-0.613742,nan,-0.556927,-0.070714,-0.807891,True
26,Q023,0.5663,4,3,accepted,1,1.0,29.036,2133,104,21,0.007309,-0.568685,nan,-0.528091,-0.089195,-0.75831,True
27,Q068,0.4608,4,3,accepted,1,0.6667,33.611,2122,108,23,0.004057,-0.594213,nan,-0.525241,-0.198073,-0.730843,True
28,Q040,0.4527,4,3,accepted,1,0.8571,36.376,3054,112,25,0.00303,-0.588118,nan,-0.56195,-0.264755,-0.724635,True
29,Q045,0.6575,4,3,accepted,1,1.0,34.012,2115,116,27,0.004084,-0.590552,nan,-0.531717,-0.343045,-0.709205,True
30,Q017,0.534,4,3,accepted,1,1.0,41.339,2305,120,29,0.003356,-0.545121,nan,-0.54851,-0.380596,-0.705435,True
31,Q078,0.5274,4,3,accepted,1,1.0,26.111,2239,124,31,0.00596,-0.593715,nan,-0.565431,-0.457226,-0.723163,True
32,Q014,0.6411,4,3,accepted,1,1.0,25.562,2765,128,33,0.005041,-0.553731,nan,-0.596299,-0.393952,-0.694517,True
33,Q074,0.5309,4,3,accepted,1,1.0,28.625,2114,132,35,0.003808,-0.578704,nan,-0.605169,-0.382127,-0.706823,True
34,Q051,0.551,4,3,accepted,1,1.0,31.12,2149,136,37,0.003882,-0.591825,nan,-0.604734,-0.338932,-0.733195,True
35,Q020,0.2641,4,3,accepted,1,0.6667,34.901,1818,140,39,0.003115,-0.614818,nan,-0.613422,-0.326439,-0.736731,True
36,Q083,0.572,4,3,accepted,1,1.0,53.777,2511,144,41,0.004001,-0.606349,nan,-0.63348,-0.298285,-0.704035,True
37,Q010,0.3363,4,3,accepted,1,0.5,32.845,2168,148,43,0.003383,-0.555831,nan,-0.542412,-0.274073,-0.694436,True
38,Q054,0.0225,4,3,accepted,1,0.5,28.106,1788,152,45,0.007017,-0.563685,nan,-0.59714,-0.263188,-0.696542,True
39,Q085,0.6161,4,2,accepted,1,1.0,21.72,380,156,47,0.004141,-0.52689,nan,-0.610561,-0.273801,-0.695874,True
40,Q010,0.3061,4,3,accepted,1,0.5,38.974,2234,160,49,0.002883,-0.536862,nan,-0.602459,-0.303196,-0.710154,True
41,Q033,0.6211,4,2,accepted,1,1.0,3.863,774,164,51,0.005478,-0.516488,nan,-0.623715,-0.290367,-0.660644,True
42,Q087,0.6715,4,3,accepted,1,1.0,31.153,2339,168,53,0.003662,-0.580864,nan,-0.572334,-0.327001,-0.722176,True
43,Q087,0.6561,4,3,accepted,1,1.0,25.377,2266,172,55,0.00607,-0.60848,nan,-0.658495,-0.344151,-0.67376,True
44,Q050,0.4632,4,3,accepted,1,0.6667,31.219,1600,176,57,0.004336,-0.583231,nan,-0.625699,-0.322885,-0.718877,True
45,Q048,0.5113,4,3,accepted,1,1.0,31.367,2664,180,59,0.004552,-0.648704,nan,-0.613882,-0.303705,-0.675635,True
46,Q016,0.5654,4,3,accepted,1,1.0,22.087,1943,184,61,0.00377,-0.609797,nan,-0.710913,-0.331188,-0.744219,True
47,Q008,0.4363,4,3,accepted,1,1.0,28.923,1385,188,63,0.002905,-0.612099,nan,-0.62897,-0.325489,-0.688511,True
48,Q038,0.629,4,3,accepted,1,1.0,32.636,2285,192,65,0.003845,-0.594396,nan,-0.631694,-0.35873,-0.702685,True
49,Q072,0.652,4,3,accepted,1,1.0,25.174,1915,196,67,0.002342,-0.607657,nan,-0.631863,-0.353646,-0.741794,True
50,Q061,0.6015,4,3,accepted,1,1.0,28.456,1979,200,69,0.002842,-0.64142,nan,-0.584599,-0.342988,-0.727802,True
51,Q041,0.5967,4,3,accepted,1,1.0,32.699,1537,204,71,0.003737,-0.648484,nan,-0.581242,-0.38535,-0.73547,True
52,Q064,0.6818,4,3,accepted,1,1.0,31.472,2201,208,73,0.00527,-0.586862,nan,-0.6032,-0.380783,-0.723891,True
53,Q071,0.5513,4,3,accepted,1,1.0,39.609,1650,212,75,0.001927,-0.61425,nan,-0.603144,-0.390827,-0.775966,True
54,Q081,0.5368,4,3,accepted,1,1.0,32.554,2124,216,77,0.003833,-0.550061,nan,-0.620061,-0.390821,-0.744876,True
55,Q041,0.6705,4,3,accepted,1,1.0,29.283,2506,220,79,0.002978,-0.559787,nan,-0.597105,-0.378121,-0.731066,True
56,Q057,0.2364,4,3,accepted,1,1.0,28.222,2273,224,81,0.002365,-0.586052,nan,-0.692088,-0.4234,-0.776858,True
57,Q081,0.5701,4,3,accepted,1,1.0,9.108,2643,228,83,0.003752,-0.53174,nan,-0.635894,-0.365001,-0.701455,True
58,Q083,0.452,4,3,accepted,1,0.75,56.771,2258,232,85,0.003241,-0.586294,nan,-0.623537,-0.395733,-0.684062,True
59,Q041,0.647,4,3,accepted,1,1.0,34.817,1829,236,87,0.004373,-0.609737,nan,-0.67139,-0.430552,-0.740577,True
60,Q075,0.3866,4,3,accepted,1,1.0,37.495,2805,240,89,0.003136,-0.597231,nan,-0.61896,-0.425485,-0.748195,True
61,Q070,0.5576,4,3,accepted,1,1.0,6.062,1329,244,91,0.003276,-0.511813,nan,-0.559337,-0.440291,-0.725879,True
62,Q079,0.4551,4,3,accepted,1,1.0,22.451,1373,248,93,0.003684,-0.580048,nan,-0.591665,-0.477121,-0.787994,True
63,Q067,0.5701,4,3,accepted,1,1.0,28.668,1757,252,95,0.003901,-0.564243,nan,-0.58229,-0.43062,-0.739042,True
64,Q026,0.3345,4,3,accepted,1,0.7143,42.313,3338,256,97,0.003493,-0.57751,nan,-0.592929,-0.424537,-0.675198,True
65,Q024,0.4766,4,3,accepted,1,1.0,56.966,3180,260,99,0.002694,-0.608964,nan,-0.602325,-0.447947,-0.701658,True
66,Q048,0.5083,4,3,accepted,1,1.0,38.51,2664,264,101,0.002649,-0.581459,nan,-0.576538,-0.436966,-0.708868,True
67,Q061,0.6141,4,3,accepted,1,1.0,29.015,1968,268,103,0.003559,-0.577899,nan,-0.559733,-0.436553,-0.676134,True
68,Q066,0.4516,4,3,accepted,1,0.5,34.318,2946,272,105,0.004097,-0.60138,nan,-0.588994,-0.453128,-0.693273,True
69,Q024,0.488,4,3,accepted,1,1.0,58.719,3178,276,107,0.004218,-0.609762,nan,-0.592845,-0.464045,-0.709803,True
70,Q006,0.5151,4,2,accepted,1,1.0,8.198,1181,280,109,0.002055,-0.558335,nan,-0.503393,-0.444981,-0.681091,True
71,Q027,0.4698,4,3,accepted,1,1.0,33.943,2998,284,111,0.002636,-0.61747,nan,-0.591957,-0.484222,-0.701464,True
72,Q009,0.5532,4,3,accepted,1,1.0,31.843,3213,288,113,0.006252,-0.607098,nan,-0.581633,-0.454237,-0.728276,True
73,Q070,0.5677,4,2,accepted,1,1.0,8.14,1409,292,115,0.00281,-0.55719,nan,-0.535092,-0.428101,-0.651911,True
74,Q080,0.7064,4,2,accepted,1,1.0,3.636,1537,296,117,0.002691,-0.640369,nan,-0.612841,-0.491006,-0.74309,True
75,Q064,0.5603,4,2,accepted,1,1.0,29.662,2394,300,119,0.003467,-0.581282,nan,-0.576157,-0.478215,-0.707908,True
76,Q059,0.292,4,2,accepted,1,0.5,4.664,1884,304,121,0.003773,-0.579379,nan,-0.549187,-0.445784,-0.633932,True
77,Q036,0.5468,4,2,accepted,1,1.0,33.481,918,308,123,0.003714,-0.626584,nan,-0.60277,-0.488426,-0.709894,True
78,Q012,0.4646,4,3,accepted,1,0.6667,58.241,4712,312,125,0.003398,-0.603258,nan,-0.564854,-0.473333,-0.678834,True
79,Q057,0.2928,4,3,accepted,1,1.0,28.396,3200,316,127,0.004888,-0.610999,nan,-0.57343,-0.469058,-0.664105,True
80,Q026,0.3434,4,3,accepted,1,0.6667,38.663,3291,320,129,0.003317,-0.643409,nan,-0.582792,-0.525685,-0.705607,True
