episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q082,0.5727,4,2,accepted,1,1.0,14.155,1599,4,0,,,,,,,False
2,Q015,0.4833,4,2,accepted,1,1.0,3.867,504,8,0,,,,,,,False
3,Q004,0.432,4,2,accepted,1,0.5,6.486,659,12,0,,,,,,,False
4,Q036,0.5677,4,2,accepted,1,1.0,9.674,894,16,0,,,,,,,False
5,Q032,0.5733,4,2,accepted,1,1.0,4.034,428,20,0,,,,,,,False
6,Q029,0.6598,4,2,accepted,1,1.0,7.556,2088,24,0,,,,,,,False
7,Q018,0.4223,4,2,accepted,1,1.0,3.681,498,28,0,,,,,,,False
8,Q014,0.7054,4,2,accepted,1,1.0,22.08,2257,32,0,,,,,,,False
9,Q087,0.728,4,2,accepted,1,1.0,11.54,2117,36,0,,,,,,,False
10,Q070,0.4003,4,2,accepted,1,0.6667,7.247,2793,40,0,,,,,,,False
11,Q012,0.6917,4,2,accepted,1,1.0,42.276,2125,44,0,,,,,,,False
12,Q076,0.5169,4,2,accepted,1,1.0,4.945,543,48,0,,,,,,,False
13,Q055,0.584,4,2,accepted,1,1.0,12.445,2245,52,0,,,,,,,False
14,Q005,0.5513,4,2,accepted,1,1.0,6.215,2341,56,0,,,,,,,False
15,Q004,0.3105,4,2,accepted,1,0.5,8.024,771,60,0,,,,,,,False
16,Q012,0.7014,4,2,accepted,1,1.0,8.679,2886,64,1,0.194537,-0.544781,nan,-0.657632,-0.386226,-0.498754,True
17,Q088,0.6588,4,2,accepted,1,1.0,19.613,1155,68,3,0.015606,-0.854808,nan,-0.766789,-0.228607,-1.012188,True
18,Q016,0.5675,4,2,accepted,1,1.0,18.673,496,72,5,0.037132,-0.888312,nan,-0.792645,-0.315797,-0.88221,True
19,Q027,0.5833,4,2,accepted,1,1.0,22.643,586,76,7,0.014405,-0.819443,nan,-0.787202,-0.438181,-0.747716,True
20,Q036,0.51,4,2,accepted,1,0.8571,27.792,1577,80,9,0.011457,-0.585741,nan,-0.608952,-0.33911,-0.605685,True
21,Q071,0.6072,4,2,accepted,1,1.0,25.617,997,84,11,0.013855,-0.578416,nan,-0.588949,-0.287412,-0.637213,True
22,Q051,0.6159,4,2,accepted,1,1.0,23.941,1485,88,13,0.009965,-0.543891,nan,-0.589232,-0.201751,-0.687514,True
23,Q007,0.655,4,2,accepted,1,1.0,22.702,726,92,15,0.006141,-0.530949,nan,-0.511837,-0.122306,-0.657142,True
