episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q082,-0.12,10,7,accepted,1,0.6667,50.499,3618,10,0,,,,,,,False
2,Q015,0.4585,4,2,accepted,1,1.0,19.188,493,14,0,,,,,,,False
3,Q004,-0.3272,10,6,rejected,0,0.5,33.874,1987,24,0,,,,,,,False
4,Q036,0.5536,4,2,accepted,1,1.0,27.578,916,28,0,,,,,,,False
5,Q032,0.5686,4,2,accepted,1,1.0,19.014,374,32,0,,,,,,,False
6,Q029,0.4868,4,2,accepted,1,1.0,18.054,179,36,0,,,,,,,False
7,Q018,0.4496,4,2,accepted,1,1.0,33.828,731,40,0,,,,,,,False
8,Q014,0.5473,4,2,accepted,1,1.0,20.776,680,44,0,,,,,,,False
9,Q087,0.0228,10,6,accepted,1,0.6667,35.963,1541,54,0,,,,,,,False
10,Q070,0.6032,4,2,accepted,1,1.0,26.844,1954,58,0,,,,,,,False
11,Q012,0.6042,4,2,accepted,1,1.0,44.919,1148,62,0,,,,,,,False
12,Q076,0.5743,4,2,accepted,1,1.0,22.121,848,66,1,0.077627,-0.202777,nan,-0.451412,-0.356535,-0.754896,True
13,Q048,0.5239,4,2,accepted,1,1.0,32.684,749,70,2,0.038995,-0.231862,nan,-0.334233,-0.233892,-0.643489,True
14,Q068,-0.431,10,6,rejected,0,0.6667,37.471,1578,80,5,0.014909,-0.32238,nan,-0.448076,-0.578357,-0.58477,True
15,Q073,0.5948,4,2,accepted,1,0.8,27.606,2225,84,6,0.021779,-0.254146,nan,-0.397608,-0.526219,-0.533478,True
16,Q088,0.4563,4,2,accepted,1,0.8571,6.383,1826,88,7,0.023076,-0.281698,nan,-0.400263,-0.503603,-0.565179,True
17,Q059,0.3563,4,2,accepted,1,0.6667,25.857,2589,92,8,0.022668,-0.357239,nan,-0.43429,-0.481763,-0.609551,True
18,Q054,0.1176,4,2,accepted,1,0.5,5.626,2543,96,9,0.011901,-0.402644,nan,-0.402965,-0.459266,-0.635524,True
19,Q016,0.6637,4,2,accepted,1,1.0,21.276,2727,100,10,0.012447,-0.375083,nan,-0.354291,-0.360013,-0.675453,True
20,Q078,0.6498,4,2,accepted,1,1.0,21.45,2629,104,11,0.012553,-0.304512,nan,-0.275176,-0.276373,-0.637571,True
21,Q028,-0.0625,9,4,accepted,1,0.5,25.04,8160,113,13,0.014568,-0.284601,nan,-0.286575,-0.313419,-0.695781,True
22,Q025,0.3873,4,2,accepted,1,0.75,29.19,2950,117,14,0.012336,-0.251453,nan,-0.332577,-0.302787,-0.699393,True
23,Q016,0.6656,4,2,accepted,1,1.0,21.298,2829,121,15,0.011643,-0.297389,nan,-0.320764,-0.3113,-0.674671,True
24,Q073,0.5808,4,2,accepted,1,0.8333,27.798,2986,125,16,0.010904,-0.2305,nan,-0.34447,-0.304272,-0.641207,True
25,Q052,0.6185,4,2,accepted,1,1.0,24.254,3225,129,17,0.007818,-0.304016,nan,-0.356074,-0.312838,-0.644102,True
26,Q035,0.0686,9,4,accepted,1,0.5,29.608,822,138,19,0.010687,-0.318597,nan,-0.42414,-0.359057,-0.632894,True
27,Q014,0.7076,4,2,accepted,1,1.0,19.869,2655,142,20,0.004724,-0.336857,nan,-0.404385,-0.338784,-0.606924,True
28,Q087,0.6532,4,2,accepted,1,1.0,25.076,2541,146,21,0.009084,-0.360571,nan,-0.417477,-0.34275,-0.595128,True
29,Q057,0.2067,9,5,accepted,1,1.0,27.674,10492,155,23,0.006909,-0.342543,nan,-0.475388,-0.314273,-0.553251,True
30,Q033,0.6915,4,2,accepted,1,1.0,20.763,2927,159,24,0.009882,-0.361911,nan,-0.465743,-0.307535,-0.645275,True
31,Q019,0.5066,4,2,accepted,1,1.0,20.269,718,163,25,0.010164,-0.329268,nan,-0.496315,-0.339151,-0.617308,True
32,Q049,0.2322,9,4,accepted,1,0.8,40.295,8171,172,28,0.0086,-0.359311,nan,-0.476901,-0.359273,-0.609354,True
33,Q080,0.4298,4,2,accepted,1,1.0,16.92,271,176,29,0.009841,-0.415874,nan,-0.443392,-0.347109,-0.615127,True
34,Q050,0.0448,9,4,accepted,1,0.3333,34.041,848,185,31,0.008127,-0.409989,nan,-0.42388,-0.374464,-0.620185,True
35,Q011,0.5591,4,2,accepted,1,1.0,28.082,949,189,32,0.00677,-0.406252,nan,-0.425651,-0.392326,-0.560974,True
36,Q072,0.7854,4,2,accepted,1,1.0,22.484,2301,193,33,0.006005,-0.412036,nan,-0.481372,-0.394619,-0.58559,True
37,Q056,-1.0791,12,4,timeout,0,0.0,33.958,1250,205,36,0.005934,-0.427276,nan,-0.458832,-0.343796,-0.59453,True
38,Q054,-1.2525,12,4,timeout,0,0.0,30.003,7578,217,39,0.004602,-0.439106,nan,-0.501364,-0.375364,-0.679741,True
39,Q086,0.6026,4,2,accepted,1,1.0,26.512,2746,221,40,0.024627,-0.418932,nan,-0.448626,-0.349276,-0.589704,True
40,Q008,0.4024,4,2,accepted,1,1.0,21.725,331,225,41,0.016698,-0.365319,nan,-0.379766,-0.317704,-0.56066,True
41,Q018,0.4239,4,2,accepted,1,1.0,35.785,492,229,42,0.005908,-0.403953,nan,-0.38709,-0.372242,-0.51087,True
42,Q077,-1.042,12,4,timeout,0,0.0,39.122,7967,241,45,0.00631,-0.491715,nan,-0.460514,-0.471968,-0.60765,True
43,Q080,0.4401,4,2,accepted,1,1.0,18.89,313,245,46,0.008716,-0.438818,nan,-0.417481,-0.44301,-0.600932,True
44,Q022,0.5418,4,2,accepted,1,1.0,22.48,2576,249,47,0.026974,-0.397874,nan,-0.359429,-0.386438,-0.579369,True
45,Q044,0.6469,4,2,accepted,1,1.0,19.408,2794,253,48,0.022114,-0.374167,nan,-0.296819,-0.378763,-0.575147,True
46,Q012,0.4586,7,4,accepted,1,1.0,56.646,7191,260,50,0.021149,-0.402132,nan,-0.427619,-0.4108,-0.623888,True
47,Q077,0.5394,4,2,accepted,1,1.0,23.822,2945,264,51,0.006728,-0.449631,nan,-0.491268,-0.418823,-0.652851,True
48,Q067,0.6972,4,2,accepted,1,1.0,23.151,1921,268,52,0.018698,-0.430906,nan,-0.425599,-0.411617,-0.640492,True
49,Q026,0.4704,7,4,accepted,1,1.0,41.478,5632,275,53,0.008153,-0.422773,nan,-0.500467,-0.363275,-0.641982,True
50,Q063,0.6182,4,2,accepted,1,1.0,23.17,555,279,54,0.009798,-0.39413,nan,-0.447722,-0.391597,-0.578803,True
51,Q008,0.3989,4,2,accepted,1,1.0,24.431,347,283,55,0.005462,-0.450666,nan,-0.473912,-0.415479,-0.62262,True
52,Q036,0.5401,4,2,accepted,1,1.0,28.378,848,287,56,0.009568,-0.492111,nan,-0.482062,-0.443017,-0.640959,True
53,Q031,0.4879,7,4,accepted,1,1.0,33.423,4586,294,58,0.006571,-0.425691,nan,-0.473656,-0.411085,-0.565505,True
54,Q048,0.6515,4,2,accepted,1,1.0,30.944,2593,298,59,0.008043,-0.420504,nan,-0.429018,-0.449752,-0.572258,True
55,Q034,0.5461,4,2,accepted,1,1.0,43.733,795,302,60,0.01066,-0.423792,nan,-0.413245,-0.470256,-0.596774,True
56,Q008,0.433,4,2,accepted,1,1.0,24.565,341,306,61,0.003931,-0.437966,nan,-0.489599,-0.470817,-0.650284,True
57,Q044,0.6179,4,2,accepted,1,1.0,17.316,1572,310,62,0.009304,-0.424853,nan,-0.493248,-0.493546,-0.63588,True
58,Q049,0.036,10,6,accepted,1,0.6,47.136,7450,320,65,0.005651,-0.456431,nan,-0.43506,-0.347797,-0.582736,True
59,Q032,0.5714,4,2,accepted,1,1.0,20.395,370,324,66,0.013733,-0.45181,nan,-0.466981,-0.371688,-0.57215,True
60,Q062,0.5173,4,3,accepted,1,1.0,31.145,3100,328,67,0.011775,-0.488105,nan,-0.51598,-0.431085,-0.641304,True
61,Q088,0.7005,4,2,accepted,1,1.0,21.105,1517,332,68,0.00327,-0.571804,nan,-0.551226,-0.441076,-0.583148,True
62,Q056,-0.426,10,7,rejected,0,0.0,50.42,4227,342,70,0.012203,-0.491928,nan,-0.501878,-0.43661,-0.549868,True
63,Q054,0.2535,4,3,accepted,1,1.0,35.644,3845,346,71,0.010763,-0.46829,nan,-0.439015,-0.393295,-0.531894,True
64,Q074,0.5179,4,3,accepted,1,1.0,32.377,3197,350,72,0.005757,-0.464548,nan,-0.437921,-0.428122,-0.562034,True
65,Q025,0.1838,7,5,accepted,1,0.6667,42.92,6582,357,74,0.016962,-0.495474,nan,-0.503461,-0.457766,-0.629771,True
66,Q023,0.572,4,3,accepted,1,1.0,30.241,3135,361,75,0.006866,-0.510447,nan,-0.52018,-0.430983,-0.605387,True
67,Q006,0.4225,4,3,accepted,1,1.0,31.167,3548,365,76,0.004153,-0.493332,nan,-0.487259,-0.482731,-0.667505,True
68,Q080,0.1807,10,7,accepted,1,1.0,31.019,4328,375,78,0.003743,-0.463355,nan,-0.543064,-0.456998,-0.626774,True
69,Q010,0.3477,7,5,accepted,1,1.0,34.61,5405,382,80,0.014345,-0.469212,nan,-0.530358,-0.424837,-0.634766,True
70,Q017,0.3285,7,4,accepted,1,0.75,33.185,4875,389,82,0.013506,-0.4883,nan,-0.556423,-0.435934,-0.626684,True
71,Q036,0.5471,4,3,accepted,1,1.0,33.693,3706,393,83,0.002452,-0.470136,nan,-0.561364,-0.423676,-0.584973,True
72,Q026,0.3783,4,3,accepted,1,0.75,29.765,2948,397,84,0.008277,-0.502561,nan,-0.552586,-0.437804,-0.572936,True
73,Q062,0.5097,4,3,accepted,1,1.0,26.446,3214,401,85,0.01246,-0.508766,nan,-0.554169,-0.461317,-0.603913,True
74,Q087,0.6131,4,3,accepted,1,1.0,31.683,3784,405,86,0.01389,-0.510904,nan,-0.554159,-0.463736,-0.563973,True
75,Q048,0.6518,4,2,accepted,1,1.0,30.895,2474,409,87,0.004063,-0.457753,nan,-0.560219,-0.516349,-0.567802,True
76,Q074,0.5251,4,3,accepted,1,1.0,28.76,3181,413,88,0.003133,-0.452381,nan,-0.563873,-0.487364,-0.60945,True
77,Q071,0.3687,7,5,accepted,1,1.0,40.287,3728,420,90,0.015303,-0.46945,nan,-0.489087,-0.508683,-0.592755,True
78,Q003,0.0208,10,6,accepted,1,0.75,36.051,5962,430,92,0.007999,-0.512263,nan,-0.545539,-0.497095,-0.566976,True
79,Q063,0.6249,4,2,accepted,1,1.0,23.456,629,434,93,0.008406,-0.498229,nan,-0.605387,-0.465629,-0.617073,True
80,Q025,0.1865,7,4,accepted,1,0.75,34.997,3892,441,95,0.007491,-0.51902,nan,-0.530982,-0.474934,-0.568759,True
81,Q070,0.4656,4,3,accepted,1,1.0,26.125,1630,445,96,0.010031,-0.493457,nan,-0.48037,-0.466118,-0.612554,True
82,Q083,0.4382,4,3,accepted,1,0.75,48.779,3343,449,97,0.00836,-0.499099,nan,-0.493261,-0.445038,-0.595405,True
83,Q056,-0.4194,10,7,rejected,0,0.0,41.136,3698,459,99,0.005574,-0.526147,nan,-0.514352,-0.429357,-0.604843,True
