episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q053,0.4287,4,2,accepted,1,0.6667,54.007,841,4,0,,,,,,,False
2,Q067,0.5115,4,2,accepted,1,1.0,19.238,291,8,0,,,,,,,False
3,Q070,0.4735,4,2,accepted,1,1.0,21.288,501,12,0,,,,,,,False
4,Q015,0.5154,4,2,accepted,1,1.0,21.098,679,16,0,,,,,,,False
5,Q023,0.5492,4,2,accepted,1,1.0,27.493,904,20,0,,,,,,,False
6,Q049,0.3681,4,2,accepted,1,0.6667,25.426,526,24,0,,,,,,,False
7,Q029,0.4978,4,2,accepted,1,1.0,17.661,177,28,0,,,,,,,False
8,Q038,0.5483,4,2,accepted,1,1.0,27.791,722,32,0,,,,,,,False
9,Q004,-0.0192,9,4,accepted,1,0.6,38.795,1706,41,0,,,,,,,False
10,Q029,0.5015,4,2,accepted,1,1.0,18.09,173,45,0,,,,,,,False
11,Q015,0.4766,4,2,accepted,1,1.0,21.792,687,49,0,,,,,,,False
12,Q073,0.382,4,2,accepted,1,0.6667,26.816,1169,53,0,,,,,,,False
13,Q002,0.5963,4,2,accepted,1,1.0,33.998,1004,57,0,,,,,,,False
14,Q013,0.4184,4,2,accepted,1,1.0,21.754,433,61,0,,,,,,,False
15,Q021,0.5451,4,2,accepted,1,1.0,40.545,798,65,1,0.181483,0.098581,nan,-0.034059,-0.140926,-0.333217,True
16,Q073,-0.4474,10,6,rejected,0,0.6,42.86,3813,75,3,0.130924,0.245263,nan,0.179202,-0.039933,-0.44382,True
17,Q082,0.5803,4,2,accepted,1,1.0,7.417,2652,79,4,0.043799,0.427582,nan,0.283905,0.010915,-0.402741,True
18,Q029,0.6388,4,2,accepted,1,1.0,22.866,1675,83,5,0.100761,0.478996,nan,0.279563,-0.153102,-0.404048,True
19,Q058,0.4927,4,2,accepted,1,1.0,3.685,525,87,6,0.1066,0.374513,nan,0.18602,-0.220986,-0.427108,True
20,Q060,0.426,4,2,accepted,1,1.0,9.565,587,91,7,0.090159,0.251135,nan,0.136024,-0.239504,-0.335825,True
21,Q067,0.6391,4,2,accepted,1,1.0,2.977,1573,95,8,0.05247,0.225172,nan,0.162657,-0.157012,-0.348487,True
22,Q074,0.5429,4,3,accepted,1,1.0,20.189,2921,99,9,0.061951,0.23998,nan,0.269409,-0.088119,-0.156545,True
23,Q071,0.5799,4,3,accepted,1,1.0,37.808,2283,103,10,0.057408,0.2182,nan,0.334567,-0.053687,-0.120125,True
24,Q018,0.5593,4,3,accepted,1,1.0,12.499,2084,107,11,0.053155,0.25581,nan,0.355944,0.016817,-0.118584,True
25,Q063,0.6374,4,3,accepted,1,1.0,28.431,2000,111,12,0.051382,0.336606,nan,0.376213,0.015588,-0.290025,True
26,Q015,0.502,4,3,accepted,1,1.0,31.13,1709,115,13,0.028662,0.371493,nan,0.356204,0.040882,-0.27018,True
27,Q082,0.2598,7,5,accepted,1,1.0,33.737,3161,122,15,0.058573,0.50243,nan,0.433655,0.11072,-0.300094,True
28,Q074,0.522,4,3,accepted,1,1.0,28.505,2124,126,16,0.053555,0.518662,nan,0.453218,0.140648,-0.256886,True
29,Q054,-0.7904,10,7,rejected,0,0.5,32.914,3279,136,19,0.050012,0.222779,nan,0.222359,-0.087129,-0.286359,True
30,Q057,0.2432,4,3,accepted,1,1.0,20.259,2248,140,20,0.056752,0.197587,nan,0.214509,-0.12457,-0.332134,True
31,Q024,0.4751,4,3,accepted,1,1.0,52.315,2647,144,21,0.032697,0.24033,nan,0.243906,-0.142444,-0.237355,True
32,Q031,0.55,4,3,accepted,1,1.0,25.494,2151,148,22,0.039697,0.243799,nan,0.264166,-0.108208,-0.259192,True
33,Q058,0.5395,4,3,accepted,1,1.0,26.558,1999,152,23,0.032932,0.238255,nan,0.24574,-0.058062,-0.393443,True
34,Q079,0.4553,4,3,accepted,1,1.0,21.549,1375,156,24,0.020868,0.317629,nan,0.307167,-0.030103,-0.4442,True
35,Q028,-0.5569,10,7,rejected,0,0.5,45.652,5517,166,26,0.087805,0.44453,nan,0.391089,0.112165,-0.294979,True
36,Q076,0.5844,4,3,accepted,1,1.0,23.977,2283,170,27,0.051625,0.447823,nan,0.447567,0.128887,-0.247426,True
37,Q010,-0.4964,10,7,rejected,0,0.6667,42.552,4265,180,30,0.061208,0.359276,nan,0.312687,0.068693,-0.185864,True
38,Q036,0.5513,4,3,accepted,1,1.0,28.551,2344,184,31,0.043929,0.274187,nan,0.221918,-0.05381,-0.117227,True
39,Q014,0.6321,4,3,accepted,1,1.0,21.319,2474,188,32,0.044497,0.220258,nan,0.181024,-0.073855,-0.170102,True
40,Q074,0.5254,4,3,accepted,1,1.0,24.758,2180,192,33,0.047669,0.236366,nan,0.150918,-0.01309,-0.274937,True
41,Q007,0.6337,4,3,accepted,1,1.0,25.757,1348,196,34,0.046156,0.240856,nan,0.152745,0.031259,-0.289727,True
42,Q003,0.376,4,3,accepted,1,0.75,22.648,2218,200,35,0.032113,0.301168,nan,0.252544,0.105235,-0.194221,True
43,Q035,-1.0899,12,7,timeout,0,0.0,59.682,7258,212,38,0.03879,0.273529,nan,0.213271,0.085064,-0.363875,True
44,Q062,0.5718,4,3,accepted,1,1.0,22.527,1565,216,39,0.056181,0.321241,nan,0.27979,0.006957,-0.38479,True
45,Q059,0.4026,4,3,accepted,1,0.6667,24.415,2194,220,40,0.088879,0.367583,nan,0.299195,0.008113,-0.278191,True
46,Q050,0.4643,4,3,accepted,1,0.6667,28.836,1596,224,41,0.027344,0.311233,nan,0.29708,0.10145,-0.210761,True
47,Q087,0.6826,4,3,accepted,1,1.0,26.873,2604,228,42,0.02809,0.269218,nan,0.259774,-0.042381,-0.251575,True
48,Q013,0.4664,4,3,accepted,1,1.0,22.504,1994,232,43,0.039665,0.236046,nan,0.210342,-0.075094,-0.325568,True
49,Q066,0.423,4,3,accepted,1,0.5,26.396,2334,236,44,0.039895,0.197008,nan,0.163925,-0.198663,-0.412416,True
50,Q074,0.5396,4,3,accepted,1,1.0,24.534,2088,240,45,0.021183,0.150072,nan,0.122307,-0.156532,-0.485991,True
51,Q087,0.6619,4,3,accepted,1,1.0,21.441,2295,244,46,0.04354,0.157514,nan,0.080688,-0.171619,-0.511369,True
52,Q012,0.4841,4,3,accepted,1,0.6667,42.765,2090,248,47,0.031295,0.170794,nan,0.104608,-0.140272,-0.419735,True
53,Q011,0.6463,4,3,accepted,1,1.0,27.384,3032,252,48,0.015404,0.217265,nan,0.120363,-0.053976,-0.362378,True
54,Q016,0.5715,4,3,accepted,1,1.0,21.94,2309,256,49,0.060433,0.329305,nan,0.195222,0.024537,-0.378407,True
55,Q016,0.5778,4,3,accepted,1,1.0,20.052,2251,260,50,0.026103,0.33693,nan,0.186587,0.016319,-0.201493,True
56,Q016,0.5933,4,3,accepted,1,1.0,21.335,2255,264,51,0.040703,0.311001,nan,0.254432,0.02391,-0.141673,True
57,Q052,0.5186,4,3,accepted,1,0.8571,23.139,2900,268,52,0.0489,0.236935,nan,0.143213,-0.030109,-0.36645,True
58,Q073,0.5911,4,3,accepted,1,1.0,36.156,2136,272,53,0.046243,0.151663,nan,0.130839,-0.092229,-0.302609,True
59,Q084,0.5669,4,3,accepted,1,1.0,22.47,1701,276,54,0.027756,0.071693,nan,0.021796,-0.202029,-0.387465,True
60,Q088,0.6051,4,3,accepted,1,1.0,26.393,1972,280,55,0.032987,0.040741,nan,-0.000298,-0.257424,-0.561418,True
61,Q043,0.6379,4,3,accepted,1,1.0,28.897,2878,284,56,0.03133,0.007607,nan,0.013171,-0.163517,-0.54129,True
